"","PACE001","PACE003","PACE004","PACE005","PACE006","PACE007","PACE010","PACE011","PACE013","PACE014"
"YPEL3",2541.7860410004,3443.36593584406,3846.18272599401,2983.81340188219,1978.40790576482,1674.38622590653,3008.70314726789,4412.75751325619,4211.43506573274,4973.86876234553
"YPEL5",58096.3528190307,26054.7145443552,29770.2913938365,15323.9283706008,28470.8206748352,28791.0286778853,20723.5132248418,16579.668721772,26397.0869125931,38475.3376968341
"YTHDC1",50.0288046165158,246.196341881657,119.330512915767,65.2523805580599,165.456137357118,112.057256481302,87.3193643754841,57.9855799909721,118.602320631367,112.269808337795
"YTHDC2",221.09503975686,275.138507263165,184.338926668386,144.593343282065,330.912274714235,328.485531634718,182.55116306331,137.006938212108,297.558484897631,307.55602424931
"YTHDF1",46.801139802547,143.583210074493,33.8399961999936,77.8579540749579,122.47287035687,36.003956053559,15.5422816849567,45.7299526742682,73.6878323449321,1.58126490616612
"YTHDF2",1468.58749035579,1760.96162093979,1350.92826935238,771.164497504344,1187.63355533561,753.251305300302,870.650361297303,971.304194801457,1028.12070843167,1574.93984654146
"YTHDF3",96.8299444190628,295.059737980306,167.418928568389,151.266882202775,371.54029420762,313.517594848407,199.788966386625,162.615711709698,282.820918428644,147.057636273449
"YWHAB",1749.39432917107,3364.43275753085,1856.7471599207,3763.1344469563,3014.71680878449,2325.28920669503,2220.285585431,1038.61868513798,2925.05604965407,1643.72486995968
"YWHAE",24128.4083168235,15255.1522619984,16854.0991600284,9474.20075443559,13182.9091077883,20506.8824749103,13590.1711053262,13991.1704805977,12298.8501128089,15751.7703627738
"YWHAG",196.887553652094,185.680905174868,229.755763673641,147.559360580158,303.826928385312,343.048929588967,274.674505414144,234.32027750295,148.779242448815,257.746179705078
"YWHAH",50851.8591440778,44161.985649404,69729.0932225184,51367.7120813591,77995.7876253945,65069.6665984148,65432.4407197883,62591.6837441351,50158.2547938761,68195.2116082263
"YWHAQ",7300.97780919734,6277.06703728804,7658.52545578803,5800.0468264221,6189.00163615894,10368.7348045929,10116.0472683287,8699.84911656348,7820.73527287546,8653.4721989941
"YWHAZ",104808.731839194,79269.5840017282,55428.1327231579,50889.4417920415,69806.0032321556,81404.944637097,70067.1491182424,57710.4685956837,48902.0526996148,66299.2749857331
"YY1",1365.30221630879,1753.06830310847,1621.64823895232,1224.96514411267,1304.80711880204,1062.72351182809,1599.72466579164,1158.97992057665,1139.00335138881,1349.60959741278
"YY1AP1",503.515710979127,450.294988662939,458.621001131492,432.297021197147,398.036828659827,306.235895871283,485.766949389829,495.895606799764,597.222336433688,758.216522506655
